_id,name,address.street,address.suburb,address.government_area,address.market,address.country,address.country_code,address.location.type,address.location.coordinates,address.location.is_location_exact,Latitude,Longitude
10059244,Ligne verte - à 15 min de métro du centre ville.,"Montréal, Québec, Canada",Hochelaga-Maisonneuve,Mercier-Hochelaga-Maisonneuve,Montreal,Canada,CA,Point,"[-73.54949, 45.54548]",False,45.54548,-73.54949
10069642,Ótimo Apto proximo Parque Olimpico,"Rio de Janeiro, Rio de Janeiro, Brazil",Recreio dos Bandeirantes,Recreio dos Bandeirantes,Rio De Janeiro,Brazil,BR,Point,"[-43.4311123147628, -23.00035792660916]",False,-23.00035792660916,-43.4311123147628
1001265,Ocean View Waikiki Marina w/prkg,"Honolulu, HI, United States",Oʻahu,Primary Urban Center,Oahu,United States,US,Point,"[-157.83919, 21.28634]",True,21.28634,-157.83919
10021707,Private Room in Bushwick,"Brooklyn, NY, United States",Brooklyn,Bushwick,New York,United States,US,Point,"[-73.93615, 40.69791]",True,40.69791,-73.93615
10057447,Modern Spacious 1 Bedroom Loft,"Montréal, Québec, Canada",Mile End,Le Plateau-Mont-Royal,Montreal,Canada,CA,Point,"[-73.59111, 45.51889]",True,45.51889,-73.59111
10038496,Copacabana Apartment Posto 6,"Rio de Janeiro, Rio de Janeiro, Brazil",Copacabana,Copacabana,Rio De Janeiro,Brazil,BR,Point,"[-43.190849194463404, -22.984339360067814]",False,-22.984339360067814,-43.190849194463404
10066928,3 chambres au coeur du Plateau,"Montréal, Québec, Canada",Le Plateau-Mont-Royal,Le Plateau-Mont-Royal,Montreal,Canada,CA,Point,"[-73.57383, 45.52233]",True,45.52233,-73.57383
10030955,Apt Linda Vista Lagoa - Rio,"Rio de Janeiro, Rio de Janeiro, Brazil",Lagoa,Lagoa,Rio De Janeiro,Brazil,BR,Point,"[-43.205047082633435, -22.971950988341874]",True,-22.971950988341874,-43.205047082633435
1003530,New York City - Upper West Side Apt,"New York, NY, United States",Manhattan,Upper West Side,New York,United States,US,Point,"[-73.96523, 40.79962]",False,40.79962,-73.96523
10051164,Catete's Colonial Big Hause Room B,"Rio de Janeiro, Rio de Janeiro, Brazil",Catete,Catete,Rio De Janeiro,Brazil,BR,Point,"[-43.18015675229857, -22.92638234778768]",True,-22.92638234778768,-43.18015675229857
10082307,Double Room en-suite (307),"Hong Kong, Kowloon, Hong Kong",Yau Tsim Mong,Yau Tsim Mong,Hong Kong,Hong Kong,HK,Point,"[114.17158, 22.30469]",True,22.30469,114.17158
10083468,Be Happy in Porto,"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,Point,"[-8.61123, 41.15225]",False,41.15225,-8.61123
10059872,"Soho Cozy, Spacious and Convenient","Hong Kong, Hong Kong Island, Hong Kong",Central & Western District,Central & Western,Hong Kong,Hong Kong,HK,Point,"[114.15027, 22.28158]",True,22.28158,114.15027
10006546,Ribeira Charming Duplex,"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,Point,"[-8.61308, 41.1413]",False,41.1413,-8.61308
10082422,Nice room in Barcelona Center,"Barcelona, Catalunya, Spain",Eixample,la Dreta de l'Eixample,Barcelona,Spain,ES,Point,"[2.16942, 41.40082]",True,41.40082,2.16942
10009999,Horto flat with small garden,"Rio de Janeiro, Rio de Janeiro, Brazil",Jardim Botânico,Jardim Botânico,Rio De Janeiro,Brazil,BR,Point,"[-43.23074991429229, -22.966253551739655]",True,-22.966253551739655,-43.23074991429229
10047964,Charming Flat in Downtown Moda,"Kadıköy, İstanbul, Turkey",Moda,Kadikoy,Istanbul,Turkey,TR,Point,"[29.03133, 40.98585]",True,40.98585,29.03133
10057826,Deluxe Loft Suite,"Brooklyn, NY, United States",Greenpoint,Greenpoint,New York,United States,US,Point,"[-73.94472, 40.72778]",True,40.72778,-73.94472
10120414,The LES Apartment,"New York, NY, United States",Manhattan,Lower East Side,New York,United States,US,Point,"[-73.98944, 40.72063]",False,40.72063,-73.98944
10133350,2 bedroom Upper east side,"New York, NY, United States",Upper East Side,Upper East Side,New York,United States,US,Point,"[-73.95854, 40.7664]",False,40.7664,-73.95854
10096773,Easy 1 Bedroom in Chelsea,"New York, NY, United States",Manhattan,Chelsea,New York,United States,US,Point,"[-74.00074, 40.74577]",True,40.74577,-74.00074
10084023,City center private room with bed,"Hong Kong , 九龍, Hong Kong",Sham Shui Po District,Sham Shui Po,Hong Kong,Hong Kong,HK,Point,"[114.1669, 22.3314]",True,22.3314,114.1669
10138784,Room Close to LGA and 35 mins to Times Square,"Queens, NY, United States",Queens,Jackson Heights,New York,United States,US,Point,"[-73.88025, 40.74953]",True,40.74953,-73.88025
10117617,A Casa Alegre é um apartamento T1.,"Vila do Conde, Porto, Portugal",,Vila do Conde,Porto,Portugal,PT,Point,"[-8.75383, 41.3596]",False,41.3596,-8.75383
