_id,name,review_scores.review_scores_accuracy,review_scores.review_scores_cleanliness,review_scores.review_scores_checkin,review_scores.review_scores_communication,review_scores.review_scores_location,review_scores.review_scores_value,review_scores.review_scores_rating
10059244,Ligne verte - à 15 min de métro du centre ville.,10.0,10.0,10.0,,,,
10069642,Ótimo Apto proximo Parque Olimpico,10.0,10.0,10.0,,,,
1001265,Ocean View Waikiki Marina w/prkg,9.0,8.0,9.0,9.0,10.0,9.0,84.0
10021707,Private Room in Bushwick,10.0,10.0,10.0,10.0,8.0,8.0,100.0
10057447,Modern Spacious 1 Bedroom Loft,10.0,10.0,10.0,,,,
10038496,Copacabana Apartment Posto 6,10.0,10.0,10.0,10.0,10.0,10.0,98.0
10066928,3 chambres au coeur du Plateau,10.0,10.0,10.0,,,,
10030955,Apt Linda Vista Lagoa - Rio,10.0,10.0,10.0,,,,
1003530,New York City - Upper West Side Apt,10.0,9.0,10.0,10.0,10.0,10.0,94.0
10051164,Catete's Colonial Big Hause Room B,10.0,6.0,8.0,8.0,8.0,8.0,80.0
10082307,Double Room en-suite (307),10.0,10.0,10.0,,,,
10083468,Be Happy in Porto,10.0,10.0,10.0,10.0,10.0,10.0,97.0
10059872,"Soho Cozy, Spacious and Convenient",10.0,10.0,10.0,10.0,10.0,8.0,100.0
10006546,Ribeira Charming Duplex,9.0,9.0,10.0,10.0,10.0,9.0,89.0
10082422,Nice room in Barcelona Center,10.0,10.0,10.0,,,,
10009999,Horto flat with small garden,10.0,10.0,10.0,,,,
10047964,Charming Flat in Downtown Moda,10.0,10.0,10.0,10.0,10.0,10.0,100.0
10057826,Deluxe Loft Suite,9.0,10.0,10.0,8.0,9.0,9.0,88.0
10120414,The LES Apartment,10.0,10.0,10.0,,,,
10133350,2 bedroom Upper east side,9.0,8.0,10.0,9.0,9.0,9.0,90.0
10096773,Easy 1 Bedroom in Chelsea,10.0,10.0,10.0,10.0,10.0,10.0,100.0
10084023,City center private room with bed,10.0,8.0,10.0,10.0,10.0,10.0,92.0
10138784,Room Close to LGA and 35 mins to Times Square,10.0,10.0,10.0,10.0,9.0,10.0,99.0
10117617,A Casa Alegre é um apartamento T1.,10.0,10.0,10.0,10.0,9.0,10.0,96.0
10115921,GOLF ROYAL RESİDENCE TAXİM(1+1):3,7.0,7.0,8.0,8.0,10.0,7.0,67.0
